GEOIDFQ,GEOID,SUMLEVEL,GEOTYPE,NAME,SOURCE,STATEFP,COUNTYFP,COUSUBFP,PLACEFP,TRACTCE,CLASSFP,MUNITYPE,PLACECOMBO
M240000US3934888,3934888,M24,JURIS-MORPC,Hemlock,MORPC,39,,,34888,,,Village,
M240000US3935476,3935476,M24,JURIS-MORPC,Hilliard,MORPC,39,,,35476,,,City,
M240000US3936988,3936988,M24,JURIS-MORPC,Huntsville,MORPC,39,,,36988,,,Village,
M240000US3938920,3938920,M24,JURIS-MORPC,Jeffersonville,MORPC,39,,,38920,,,Village,
M240000US3939340,3939340,M24,JURIS-MORPC,Johnstown,MORPC,39,,,39340,,,City,
M240000US3939508,3939508,M24,JURIS-MORPC,Junction City,MORPC,39,,,39508,,,Village,
M240000US3940376,3940376,M24,JURIS-MORPC,Kingston,MORPC,39,,,40376,,,Village,
M240000US3940572,3940572,M24,JURIS-MORPC,Kirkersville,MORPC,39,,,40572,,,Village,
M240000US3941608,3941608,M24,JURIS-MORPC,Lakeview,MORPC,39,,,41608,,,Village,
M240000US3941720,3941720,M24,JURIS-MORPC,Lancaster,MORPC,39,,,41720,,,City,
M240000US3941902,3941902,M24,JURIS-MORPC,La Rue,MORPC,39,,,41902,,,Village,
M240000US3942084,3942084,M24,JURIS-MORPC,Laurelville,MORPC,39,,,42084,,,Village,
M240000US3944086,3944086,M24,JURIS-MORPC,Lithopolis,MORPC,39,,,44086,,,Village,
M240000US3944310,3944310,M24,JURIS-MORPC,Lockbourne,MORPC,39,,,44310,,,Village,
M240000US3944632,3944632,M24,JURIS-MORPC,Logan,MORPC,39,,,44632,,,City,
M240000US3944674,3944674,M24,JURIS-MORPC,London,MORPC,39,,,44674,,,City,
M240000US3946830,3946830,M24,JURIS-MORPC,Magnetic Springs,MORPC,39,,,46830,,,Village,
M240000US3947474,3947474,M24,JURIS-MORPC,Marble Cliff,MORPC,39,,,47474,,,Village,
M240000US3947558,3947558,M24,JURIS-MORPC,Marengo,MORPC,39,,,47558,,,Village,
M240000US3947754,3947754,M24,JURIS-MORPC,Marion,MORPC,39,,,47754,,,City,
M240000US3948090,3948090,M24,JURIS-MORPC,Martinsburg,MORPC,39,,,48090,,,Village,
M240000US3948160,3948160,M24,JURIS-MORPC,Marysville,MORPC,39,,,48160,,,City,
M240000US3950008,3950008,M24,JURIS-MORPC,Midway,MORPC,39,,,50008,,,Village,
M240000US3950218,3950218,M24,JURIS-MORPC,Milford Center,MORPC,39,,,50218,,,Village,
M240000US3950316,3950316,M24,JURIS-MORPC,Milledgeville,MORPC,39,,,50316,,,Village,
M240000US3950400,3950400,M24,JURIS-MORPC,Millersport,MORPC,39,,,50400,,,Village,
M240000US3950862,3950862,M24,JURIS-MORPC,Minerva Park,MORPC,39,,,50862,,,Village,
M240000US3952276,3952276,M24,JURIS-MORPC,Morral,MORPC,39,,,52276,,,Village,
M240000US3952738,3952738,M24,JURIS-MORPC,Mount Gilead,MORPC,39,,,52738,,,Village,
M240000US3953046,3953046,M24,JURIS-MORPC,Mount Sterling,MORPC,39,,,53046,,,Village,
M240000US3953102,3953102,M24,JURIS-MORPC,Mount Vernon,MORPC,39,,,53102,,,City,
M240000US3953410,3953410,M24,JURIS-MORPC,Murray City,MORPC,39,,,53410,,,Village,
M240000US3953970,3953970,M24,JURIS-MORPC,New Albany,MORPC,39,,,53970,,,City,
M240000US3954040,3954040,M24,JURIS-MORPC,Newark,MORPC,39,,,54040,,,City,
M240000US3954152,3954152,M24,JURIS-MORPC,New Bloomington,MORPC,39,,,54152,,,Village,
M240000US3954726,3954726,M24,JURIS-MORPC,New Holland,MORPC,39,,,54726,,,Village,
M240000US3954866,3954866,M24,JURIS-MORPC,New Lexington,MORPC,39,,,54866,,,Village,
M240000US3955552,3955552,M24,JURIS-MORPC,New Straitsville,MORPC,39,,,55552,,,Village,
